event_id,source_node,source_gpu,target_node,target_gpu,event_type,data_type,start_time,end_time,data_size,gpu_id,type,name,start,end
69,2,8,2,8,compute,mb2_s8_fwd,0.0014638607999999998,0.0015263607999999999,0,8,compute,mb2_s8_fwd,0.0014638607999999998,0.0015263607999999999
70,2,9,2,9,compute,mb1_s9_fwd,0.0014638607999999998,0.0015263607999999999,0,9,compute,mb1_s9_fwd,0.0014638607999999998,0.0015263607999999999
71,2,10,2,10,compute,mb0_s10_fwd,0.0014638607999999998,0.0015263607999999999,0,10,compute,mb0_s10_fwd,0.0014638607999999998,0.0015263607999999999
72,1,7,2,8,comm,activation,0.0015263607999999999,0.0016102468799999998,8388608,7,comm,activation,0.0015263607999999999,0.0016102468799999998
73,2,8,2,9,comm,activation,0.0015263607999999999,0.0016102468799999998,8388608,8,comm,activation,0.0015263607999999999,0.0016102468799999998
74,2,9,2,10,comm,activation,0.0015263607999999999,0.0016102468799999998,8388608,9,comm,activation,0.0015263607999999999,0.0016102468799999998
75,2,10,2,11,comm,activation,0.0015263607999999999,0.0016102468799999998,8388608,10,comm,activation,0.0015263607999999999,0.0016102468799999998
76,2,8,2,8,compute,mb3_s8_fwd,0.0016102468799999998,0.0016727468799999999,0,8,compute,mb3_s8_fwd,0.0016102468799999998,0.0016727468799999999
77,2,9,2,9,compute,mb2_s9_fwd,0.0016102468799999998,0.0016727468799999999,0,9,compute,mb2_s9_fwd,0.0016102468799999998,0.0016727468799999999
78,2,10,2,10,compute,mb1_s10_fwd,0.0016102468799999998,0.0016727468799999999,0,10,compute,mb1_s10_fwd,0.0016102468799999998,0.0016727468799999999
79,2,11,2,11,compute,mb0_s11_fwd,0.0016102468799999998,0.0016727468799999999,0,11,compute,mb0_s11_fwd,0.0016102468799999998,0.0016727468799999999
80,2,8,2,9,comm,activation,0.0016727468799999999,0.0017566329599999998,8388608,8,comm,activation,0.0016727468799999999,0.0017566329599999998
81,2,9,2,10,comm,activation,0.0016727468799999999,0.0017566329599999998,8388608,9,comm,activation,0.0016727468799999999,0.0017566329599999998
82,2,10,2,11,comm,activation,0.0016727468799999999,0.0017566329599999998,8388608,10,comm,activation,0.0016727468799999999,0.0017566329599999998
83,2,11,3,12,comm,activation,0.0016727468799999999,0.0017566329599999998,8388608,11,comm,activation,0.0016727468799999999,0.0017566329599999998
84,2,9,2,9,compute,mb3_s9_fwd,0.0017566329599999998,0.0018191329599999998,0,9,compute,mb3_s9_fwd,0.0017566329599999998,0.0018191329599999998
85,2,10,2,10,compute,mb2_s10_fwd,0.0017566329599999998,0.0018191329599999998,0,10,compute,mb2_s10_fwd,0.0017566329599999998,0.0018191329599999998
86,2,11,2,11,compute,mb1_s11_fwd,0.0017566329599999998,0.0018191329599999998,0,11,compute,mb1_s11_fwd,0.0017566329599999998,0.0018191329599999998
87,3,12,3,12,compute,mb0_s12_fwd,0.0017566329599999998,0.0018191329599999998,0,12,compute,mb0_s12_fwd,0.0017566329599999998,0.0018191329599999998
88,2,9,2,10,comm,activation,0.0018191329599999998,0.0019030190399999998,8388608,9,comm,activation,0.0018191329599999998,0.0019030190399999998
89,2,10,2,11,comm,activation,0.0018191329599999998,0.0019030190399999998,8388608,10,comm,activation,0.0018191329599999998,0.0019030190399999998
90,2,11,3,12,comm,activation,0.0018191329599999998,0.0019030190399999998,8388608,11,comm,activation,0.0018191329599999998,0.0019030190399999998
91,3,12,3,13,comm,activation,0.0018191329599999998,0.0019030190399999998,8388608,12,comm,activation,0.0018191329599999998,0.0019030190399999998
92,2,10,2,10,compute,mb3_s10_fwd,0.0019030190399999998,0.0019655190399999996,0,10,compute,mb3_s10_fwd,0.0019030190399999998,0.0019655190399999996
93,2,11,2,11,compute,mb2_s11_fwd,0.0019030190399999998,0.0019655190399999996,0,11,compute,mb2_s11_fwd,0.0019030190399999998,0.0019655190399999996
94,3,12,3,12,compute,mb1_s12_fwd,0.0019030190399999998,0.0019655190399999996,0,12,compute,mb1_s12_fwd,0.0019030190399999998,0.0019655190399999996
95,3,13,3,13,compute,mb0_s13_fwd,0.0019030190399999998,0.0019655190399999996,0,13,compute,mb0_s13_fwd,0.0019030190399999998,0.0019655190399999996
96,2,10,2,11,comm,activation,0.0019655190399999996,0.0020494051199999998,8388608,10,comm,activation,0.0019655190399999996,0.0020494051199999998
97,2,11,3,12,comm,activation,0.0019655190399999996,0.0020494051199999998,8388608,11,comm,activation,0.0019655190399999996,0.0020494051199999998
98,3,12,3,13,comm,activation,0.0019655190399999996,0.0020494051199999998,8388608,12,comm,activation,0.0019655190399999996,0.0020494051199999998
99,3,13,3,14,comm,activation,0.0019655190399999996,0.0020494051199999998,8388608,13,comm,activation,0.0019655190399999996,0.0020494051199999998
100,2,11,2,11,compute,mb3_s11_fwd,0.0020494051199999998,0.00211190512,0,11,compute,mb3_s11_fwd,0.0020494051199999998,0.00211190512
101,3,12,3,12,compute,mb2_s12_fwd,0.0020494051199999998,0.00211190512,0,12,compute,mb2_s12_fwd,0.0020494051199999998,0.00211190512
102,3,13,3,13,compute,mb1_s13_fwd,0.0020494051199999998,0.00211190512,0,13,compute,mb1_s13_fwd,0.0020494051199999998,0.00211190512
103,3,14,3,14,compute,mb0_s14_fwd,0.0020494051199999998,0.00211190512,0,14,compute,mb0_s14_fwd,0.0020494051199999998,0.00211190512
104,2,11,3,12,comm,activation,0.00211190512,0.0021957912,8388608,11,comm,activation,0.00211190512,0.0021957912
105,3,12,3,13,comm,activation,0.00211190512,0.0021957912,8388608,12,comm,activation,0.00211190512,0.0021957912
106,3,13,3,14,comm,activation,0.00211190512,0.0021957912,8388608,13,comm,activation,0.00211190512,0.0021957912
107,3,14,3,15,comm,activation,0.00211190512,0.0021957912,8388608,14,comm,activation,0.00211190512,0.0021957912
